iter	Passed	Remaining
0	129	129183
1	144	71964
2	153	50981
3	164	40880
4	174	34717
5	182	30278
6	191	27194
7	200	24917
8	213	23509
9	223	22159
10	239	21526
11	251	20696
12	262	19917
13	275	19397
14	287	18888
15	295	18158
16	306	17706
17	322	17584
18	334	17287
19	352	17252
20	363	16956
21	379	16857
22	389	16532
23	402	16379
24	432	16881
25	447	16761
26	461	16645
27	476	16538
28	489	16387
29	504	16303
30	518	16199
31	531	16087
32	541	15880
33	553	15737
34	563	15534
35	578	15484
36	587	15291
37	603	15269
38	615	15162
39	624	14995
40	634	14842
41	646	14747
42	658	14650
43	670	14562
44	682	14489
45	694	14400
46	704	14294
47	712	14140
48	719	13968
49	728	13840
50	740	13778
51	751	13706
52	764	13657
53	773	13543
54	781	13422
55	792	13360
56	802	13281
57	813	13217
58	825	13173
59	838	13136
60	852	13121
61	864	13078
62	875	13026
63	888	12993
64	896	12892
65	903	12791
66	918	12792
67	928	12723
68	939	12677
69	949	12610
70	962	12591
71	976	12585
72	990	12577
73	1001	12534
74	1016	12541
75	1030	12522
76	1041	12485
77	1050	12417
78	1058	12344
79	1066	12270
80	1078	12233
81	1088	12191
82	1099	12147
83	1114	12156
84	1129	12160
85	1138	12101
86	1152	12098
87	1168	12105
88	1182	12101
89	1197	12106
90	1207	12062
91	1218	12023
92	1229	11991
93	1241	11964
94	1252	11934
95	1266	11923
96	1276	11880
97	1284	11824
98	1294	11779
99	1303	11732
100	1313	11691
101	1322	11639
102	1332	11602
103	1342	11566
104	1353	11535
105	1361	11486
106	1371	11447
107	1382	11421
108	1393	11390
109	1406	11382
110	1419	11371
111	1429	11335
112	1439	11296
113	1447	11252
114	1457	11218
115	1470	11207
116	1482	11184
117	1495	11176
118	1507	11160
119	1521	11154
120	1532	11130
121	1541	11096
122	1551	11064
123	1564	11054
124	1578	11046
125	1588	11019
126	1597	10978
127	1604	10932
128	1616	10916
129	1629	10903
130	1638	10871
131	1649	10845
132	1663	10845
133	1673	10817
134	1682	10783
135	1695	10770
136	1704	10739
137	1718	10733
138	1727	10699
139	1739	10688
140	1750	10662
141	1759	10633
142	1769	10605
143	1779	10575
144	1789	10554
145	1801	10538
146	1814	10530
147	1824	10501
148	1836	10488
149	1849	10478
150	1858	10447
151	1866	10415
152	1880	10408
153	1889	10382
154	1900	10359
155	1912	10347
156	1921	10315
157	1930	10289
158	1941	10268
159	1951	10246
160	1961	10219
161	1970	10191
162	1981	10176
163	1989	10143
164	2002	10135
165	2014	10119
166	2023	10095
167	2034	10074
168	2046	10064
169	2055	10036
170	2062	10000
171	2070	9969
172	2081	9950
173	2091	9929
174	2105	9926
175	2118	9918
176	2131	9912
177	2143	9897
178	2153	9879
179	2161	9848
180	2173	9833
181	2184	9818
182	2195	9802
183	2204	9777
184	2215	9761
185	2229	9755
186	2239	9738
187	2248	9709
188	189	2253	9189	190	2266	9190	191	2274	9191	192	2285	9192	193	2295	9193	194	2312	9194	195	2320	9195	196	2330	9196	197	2339	9197	198	2350	9198	199	2359	9199	200	2373	9200	201	2380	9201	202	2390	9202	203	2400	9203	204	2413	9204	205	2423	9205	206	2432	9206	207	2443	9207	208	2454	9208	209	2465	9209	210	2475	9210	211	2487	9211	212	2499	9212	213	2510	9213	214	2522	9214	215	2533	9215	216	2542	9216	217	2553	9217	218	2565	9218	219	2575	9219	220	2585	9220	221	2594	9221	222	2605	9222	223	2613	9223	224	2623	9224	225	2634	9225	226	2644	9226	227	2656	8227	228	2668	8228	229	2679	8970
230	2690	8956
231	2702	8945
232	2714	8934
233	2724	8233	234	2737	8910
235	2747	8893
236	2754	8236	237	2762	8237	238	2771	8238	239	2783	8239	240	2793	8240	241	2803	8241	242	2815	8242	243	2823	8243	244	2834	8244	245	2841	8245	2857	8756
246	2870	8751
247	2880	8735
248	2889	8713
249	2899	8697
250	251	2906	8251	252	2917	8252	253	2927	8253	254	2938	8254	255	2948	8255	256	2960	8256	257	2971	8257	258	2981	8258	259	2991	8259	260	3002	8260	3016	8542
261	3027	8528
262	263	3034	8263	264	3045	8264	265	3054	8265	266	3065	8266	267	3075	8267	268	3086	8268	269	3095	8269	270	3109	8270	271	3121	8271	272	3131	8272	273	3142	8273	274	3152	8274	275	3163	8275	276	3175	8276	3189	8324
277	3200	8310
278	3208	8291
279	280	3214	8280	281	3225	8281	3240	8250
282	283	3251	8283	284	3262	8284	285	3271	8285	286	3282	8286	287	3293	8287	288	3302	8288	289	3314	8289	290	3325	8290	291	3335	8291	292	3348	8292	293	3359	8293	294	3370	8294	295	3381	8295	296	3396	8039
297	3407	8028
298	3421	8021
299	3430	8003
300	3440	7990
301	3448	7970
302	3459	7957
303	3472	7951
304	3482	7936
305	3496	7930
306	3505	7913
307	3516	7900
308	3528	7890
309	3537	7872
310	3547	7858
311	3558	7845
312	3567	7829
313	3578	7818
314	3588	7802
315	3598	7788
316	3607	7771
317	3614	7751
318	3627	7744
319	3639	7734
320	3650	7722
321	3663	7713
322	3675	7702
323	3686	7690
324	3696	7677
325	3709	7669
326	3717	7651
327	3727	7637
328	3737	7622
329	3748	7611
330	3760	7601
331	3773	7591
332	3785	7582
333	3795	7568
334	3806	7555
335	3816	7542
336	3829	7533
337	3839	7520
338	3848	7504
339	3858	7489
340	3866	7472
341	3874	7455
342	3882	7437
343	3891	7420
344	3900	7405
345	3910346	39346	3919347	39347	3931348	39348	3942349	39349	3952350	39350	3963351	39351	3972352	39352	3980353	4013	7323
354	4023	7311
355	4036	7301
356	4047	7290
357	4059	7279
358	4072	7271
359	4083	7258
360	4092	7243
361	4103	7232
362	4114	7220
363	4124	7206
364	4136	7195
365	4147	7184
366	4158	7173
367	4170	7162
368	4184	7154
369	4196	7145
370	4206	7130
371	4214	7115
372	4226	7104
373	4241	7099
374	4251	7086
375	4264	7076
376	4277	7069
377	4284	7050
378	4292	7033
379	4301	7018
380	4310	7002
381	4325	6997
382	4338	6989
383	4351	6979
384	4360	6965
385	4370	6952
386	4384	6944
387	4392	6929
388	4402	6914
389	4417	6910
390	4427	6896
391	4439	6885
392	4450	6874
393	4464	6866
394	4474	6852
395	4483	6838
396	4495	6827
397	4506	6816
398	4518	6806
399	4528	6792
400	4538	6779
401	4548	6766
402	4559	6753
403	4570	6742
404	4581	6730
405	4592	6719
406	4604	6708
407	4614	6696
408	4626	6685
409	4637	6672
410	4645	6657
411	4657	6647
412	4668	6635
413	4677	6620
414	4692	6614
415	4701	6600
416	4714	6590
417	4721	6573
418	4733	6563
419	4744	6551
420	4756	6541
421	4765	6527
422	4777	6516
423	4788	6504
424	4799	6493
425	4808	6478
426	4815	6462
427	4827	6452
428	4835	6436
429	4847	6425
430	4857	6412
431	4870	6403
432	4879	6389
433	4889	6376
434	4900	6364
435	4907	6348
436	4918	6336
437	4932	6329
438	4942	6316
439	4952	6303
440	4964	6292
441	4974	6280
442	4984	6267
443	4996	6256
444	5006	6244
445	5018	6233
446	5031	6224
447	5046	6218
448	5060	6209
449	5067	6194
450	5079	6183
451	5087	6167
452	5100	6159
453	5108	6143
45453	5104	61345454	5119	6131
455	5128	61145456	5144	6112
457	5157	6103
458	5170	6094
459	5182	6084
460	5197	6076
461	5210	6067
462	5221	6055
463	5234	6046
464	5245	6035
465	5256	6023
466	5267	6011
467	5276	5998
468	5289	5988
469	5301	5978
470	5315	5969
471	5326	5958
472	5339	5949
473	5349	5936
474	5362	59247475	5374	59147476	5392	5912
477	5406	59047478	5417	58948479	5428	588481	5456	5863
482	5467	5852
483	5479	5841
484	5490	5830
485	5499	5816
486	5512	5806
48486	5511	58048487	5521	57948488	5534	57849489	5547	57749490	5559	57649491	5571	57549492	5585	57449493	5593	57249494	5602	571496	5627	5695
497	5636	5682
498	5647	5670
499	5659	5659
50499	5653	565501	5679	5634
502	5689	5622
503	5701	5611
504	5712	5599
50504	5707	55950505	5718	55850506	5731	55750507	5743	55650508	5757	55551509	5769	55451510	5779	55351511	5791	55251512	5800	55051513	5810	54951514	5823	5484
515	5831	54751516	5844	54651517	5855	5448
518	5869	5440
519	5886	5433
520	5895	5420
521	5907	5409
522	5917	5397
523	5930	5387
524	5945	5379
525	5957	5368
526	5971	5359
527	5983	5349
528	5996	5338
529	6011	5330
530	6020	5317
531	6032	5307
532	6046	5297
533	6057	5286
534	6070	5276
535	6078	5262
536	6092	5252
537	6104	5242
538	6116	5230
539	6128	5220
540	6140	5210
541	6154	5200
542	6169	5191
543	6178	5179
544	6187	5165
545	6196	5152
546	6208	5141
547	6221	5131
548	6230	5118
549	6238	5104
550	6249	5092
551	6261	5081
552	6271	5069
553	6282	50555554	6296	5048
555	6309	50355556	6320	50255557	6330	50155558	6348	5008
559	6367	5003
560	6383	4995
561	6400	4988
562	6411	4976
563	6422	4964
564	6429	49556565	6438	49356566	6449	49256567	6460	49156568	6473	4903
569	6485	4892
570	6496	4881
571	6508	4869
572	6517	4856
573	6526	4843
574	6540	4834
575	6546	4819
576	6558	4807
577	6571	4797
578	6583	4786
579	6595	4775
580	6606	4764
581	6618	4753
582	6625	4739
583	6634	4726
584	6647	4715
585	6655	4701
586	6666	4690
587	6677	4678
588	6685	4664
589	6695	4652
590	6705	4640
591	6715	4628
592	6727	4617
593	6738	4605
594	6749	4593
595	6758	4581
596	6768	4568
597	6777	4556
598	6787	4544
599	6797	4531
600	6803	45160601	6812	45060602	6823	44960603	6835	4481
604	6843	4468
605	6853	44560606	6862	44460607	6873	44360608	6887	44261609	6896	44061610	6907	4397
611	6918	4386
612	6926	4372
613	6939	4362
614	6952	4352
615	6963	4340
616	6976	4330
617	6986	4318
618	6995	4305
619	7008	4295
620	7018	4283
621	7026	4270
622	7037	4258
623	7045	4245
624	7054	4232
625	7069	4223
626	7080	4212
627	7091	4200
628	7103	4189
629	7119	4181
630	7136	4173
631	7150	4163
632	7162	4152
633	7176	4143
634	7192	4134
635	7206	4124
636	7217	4113
637	7230	4102
638	7241	4091
639	7253	4080
640	7265	4068
641	7275	4057
642	7284	4044
643	7293	4031
644	7302	4019
645	7313	4007
646	7324	3996
647	7333	3983
648	7343	3971
649	7355	3960
650	7365	3948
651	7375	3936
652	7389	3926
653	7401	3915
654	7411	3903
655	7422	3892
656	7434	3881
657	7446	3870
658	7454	3857
659	7467	3846
660	7480	3836
661	7493	3825
662	7504	3814
663	7515	3803
664	7526	3791
665	7540	3781
666	7547	3768
667	7560	3757
668	7572	3746
669	7582	3734
670	7593	3723
671	7602	3710
672	7614	3699
673	7624	3687
674	7637	3677
675	7649	3666
676	7664	3656
677	7676	3645
678	7684	3632
679	7695	3621
680	7706	3610
681	7716	3598
682	7725	3585
683	7736	3574
684	7746	3562
685	7755	3550
686	7764	3537
687	7775	3525
688	7786	3514
689	7800	3504
690	7815	3494
691	7826	3483
692	7837	3471
693	7851	3461
694	7866	3452
695	7878	3441
696	7891	3430
697	7903	3419
698	7911	3406
699	7923	3395
700	7932	3383
701	7944	3372
702	7955	3361
703	7964	3348
704	7976	3337
705	7985	3325
706	7995	3313
707	8004	3301
708	8016	3290
709	8025	3277
710	8037	3266
711	8047	3255
712	8058	3243
713	8066	3231
714	8077	3219
715	8089	3208
716	8100	3197
717	8107	3184
718	8115	3171
719	8123	3159
720	8137	3148
721	8148	3137
722	8157	3125
723	8165	31172724	725	818172725	8190	30972726	8203	3080
727	8215	3069
728	8227	3058
729	8239	3047
730	8251	3036
731	8260	3024
732	8273	3013
733	8285	3002
734	8293	2990
735	8307	2979
736	8318	2968
737	8335	2959
738	8351	2949
739	8367	2939
740	8383	2930
741	8393	2918
742	8406	2907
743	8417	2896
744	8426	2884
745	8436	2872
746	8454	2863
747	8473	2854
748	8488	2844
749	8498	2832
750	8509	2821
751	8523	2810
752	8532	2798
753	8542	2786
754	8551	2774
755	8563	2763
756	8573	2752
757	8583	2740
758	8596	2729
759	8605	2717
760	8616	2706
761	8626	2694
762	8641	2684
763	8650	2672
764	8662	2660
765	8676	2650
766	8688	2639
767	8701	2628
768	8714	2617
769	8724	2605
770	8735	2594
771	8745	2582
772	8753	2570
773	8763	2558
774	8772	2546
775	8781	2534
776	8791	2523
777	8801	2511
778	8810	2499
779	8820	2487
780	8830	2476
781	8842	2464
782	8851	2453
783	8863	2441
784	8872	2429
785	8881	2418
786	8890	2406
787	8901	2394
788	8912	2383
789	8922	2371
790	791	8940	2791	792	8950	2792	793	8962	2793	8963	2325
794	8974	2314
795	8982	2302
796	797	8999	2797	798	9009	2798	799	9020	2799	800	903480800	801	904180801	802	9053803	90803	9065804	9085	2200
805	9095	2189
806	91806	9096807	9117	2166
808	91808	911580808	809	9147810	91810	9157811	91811	916981811	812	9180813	91813	9188814	92814	9202815	92815	9214816	92816	922981816	817	9238818	92818	9248819	92819	9259820	92820	9271821	9288	2011
822	9300	2000
823	9312	1989
824	9323	1977
825	9331	1965
826	9341	1954
827	9348	1942
828	9360	1930
829	9371	1919
830	9382	1908
83830	9375	19083831	9390	18983832	9400	188834	94834	9420835	9445	1852
836	9470	1844
837	9486	1833
83837	9482	18383838	9499	18284839	9507	18184840	9520	17984841	9530	17884842	9539	17784843	9550	17684844	9562	17584845	9576	17484846	9586	17384847	9595	17284848	9606	17085849	9615	16985850	9626	16885851	9637	16785852	9646	16685853	9655	16585854	9667	16385855	9679	16285856	9693	16185857	9707	1606
858	9715	15986859	9727	15886860	9741	15786861	9768	15686862	9783	15586863	9793	15486864	9803	15286865	9813	15186866	9823	15086867	9830	14986868	9841	148870	9868	1461
871	9882	1450
87871	9879	145873	9914	1429
874	9926	1418
875	9938	1406
876	9946	1395
877	9959	1383
878	9969	1372
879	9983	1361
880	9997	1350
881	10006	1338
882	10016	1327
883	10028	1315
884	10039	1304
885	10049	1293
886	10064	1282
887	10074	1270
888	10087	1259
889	10098	12488890	10110	1236
891	10120	1225
892	10130	1213
893	10141	12028894	10150	11908895	10160	11798896	10172	11688897	10186	11578898	10196	11458899	10207	11348900	10220	1123900	10211	1122
9902	10243	11009903	10251	1088903	10245	1087
904	10262	1077
9906	10296	10559907	10306	10449908	10316	10329909	10327	1021
910	10338	10109911	10347	998
912	10361	987
913	10370	975
914	10380	964
915	10393	953
916	10405	941
916	10396	940
918	10426	919
919	10443	908
920	10454	896
921	10466	885
922	10477	874
923	10488	862
924	10499	851
925	10508	839
926	10519	828
927	10530	817
928	10540	805
929	10549	794
930	10560	782
931	10570	771
932	10582	759
933	10592	748
934	10602	737
935	10611	725
936	10621	714
937	10630	702
938	10642	691
939	10652	679
940	10666	668
94941	10676	6594942	10686	6494943	10701	6394944	10713	62945	10731	612
946	10741	601
94947	10743	5894948	10754	57949	10772	566
950	10784	555
951	10791	544
952	10800	532
95953	10803	5295954	10812	5095955	10823	4995956	10836	48957	10853	475
95958	10855	4695959	10867	4596960	10877	4496961	10887	4396962	10897	41963	10913	407
964	10926	396
965	10939	385
966	10951	373
967	10964	362
968	10979	351
969	10991	339
970	11005	328
971	11016	317
972	11024	305
973	11035	294
974	11046	283
975	11058	271
976	11072	260
977	11085	249
978	11097	238
979	11112	226
980	11122	215
981	11133	204
982	11146	192
983	11153	181
984	11165	170
985	11181	158
986	11195	147
987	11212	136
988	11229	124
989	11241	113
990	11251	102
991	11265	90
992	11279	79
993	11293	68
994	11301	56
995	11306	45
996	11313	34
997	11318	22
998	11323	11
999	11329	0
0
999	11290	0
