iter	Passed	Remaining
0	1	484
1	4	616
2	8	683
3	10	670
4	14	690
5	17	729
6	21	742
7	24	753
8	28	766
9	32	771
10	34	750
11	37	744
12	39	724
13	42	719
14	45	710
15	48	706
16	50	697
17	53	687
18	55	675
19	57	662
20	59	650
21	61	637
22	63	624
23	65	612
24	66	601
25	68	590
26	70	580
27	71	569
28	73	561
29	75	553
30	77	545
31	78	535
32	80	527
33	81	520
34	83	511
35	84	504
36	86	496
37	87	488
38	89	481
39	90	474
40	92	469
41	93	462
42	94	457
43	96	451
44	97	445
45	99	441
46	100	435
47	102	430
48	103	425
49	105	421
50	106	416
51	108	411
52	109	406
53	111	403
54	112	399
55	114	395
56	115	390
57	116	386
58	118	382
59	119	378
60	120	373
61	122	369
62	123	366
63	124	362
64	126	358
65	127	355
66	128	351
67	130	348
68	131	345
69	133	342
70	134	339
71	136	336
72	137	333
73	138	330
74	140	327
75	141	323
76	142	320
77	144	318
78	145	315
79	147	312
80	148	310
81	150	307
82	151	304
83	153	302
84	154	299
85	155	296
86	156	294
87	158	291
88	159	289
89	161	286
90	162	284
91	164	281
92	165	279
93	166	276
94	167	273
95	169	271
96	170	268
97	171	266
98	172	263
99	174	261
100	175	258
101	176	256
102	178	254
103	179	251
104	180	249
105	181	246
106	183	244
107	184	242
108	185	239
109	186	237
110	187	235
111	189	233
112	190	230
113	191	228
114	193	226
115	194	224
116	195	222
117	196	220
118	197	217
119	199	215
120	200	213
121	201	211
122	202	209
123	204	207
124	205	205
125	207	203
126	208	201
127	209	200
128	211	198
129	213	196
130	214	195
131	216	193
132	217	191
133	219	190
134	221	188
135	222	186
136	224	185
137	225	183
138	227	181
139	228	179
140	230	178
141	231	176
142	233	174
143	234	172
144	236	171
145	237	169
146	239	167
147	240	165
148	241	163
149	243	162
150	244	160
151	245	158
152	247	156
153	248	154
154	249	153
155	251	151
156	252	149
157	254	148
158	256	146
159	258	145
160	259	143
161	260	141
162	262	139
163	263	138
164	265	136
165	266	135
166	268	133
167	269	131
168	271	130
169	273	128
170	274	126
171	275	125
172	277	123
173	278	121
174	280	120
175	281	118
176	283	116
177	284	115
178	286	113
179	287	111
180	288	110
181	290	108
182	291	106
183	293	105
184	294	103
185	296	101
186	297	100
187	298	98
188	300	96
189	301	95
190	303	93
191	304	91
192	305	90
193	307	88
194	308	87
195	310	85
196	311	83
197	313	82
198	314	80
199	315	78
200	317	77
201	318	75
202	319	74
203	321	72
204	323	70
205	324	69
206	326	67
207	327	66
208	329	64
209	330	62
210	332	61
211	333	59
212	335	58
213	336	56
214	338	55
215	339	53
216	340	51
217	342	50
218	343	48
219	345	47
220	346	45
221	348	43
222	349	42
223	350	40
224	352	39
225	353	37
226	355	36
227	356	34
228	358	32
229	359	31
230	361	29
231	362	28
232	364	26
233	366	25
234	367	23
235	369	21
236	370	20
237	371	18
238	373	17
239	374	15
240	376	14
241	377	12
242	379	10
243	380	9
244	382	7
245	383	6
246	385	4
247	386	3
248	388	1
249	389	0
